|------------|----------------|----------------|----------------|----------------|--------------------|
| Data       | Abertura       | Fechamento     | Maximo         | Minimo         | Volume             |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-02-22 | 14999.98       | 14916          | 15094          | 14861.5        | 2941071.34786573   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-02-23 | 14916          | 15450          | 15496.98999    | 14860.7        | 1660941.64588193   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-02-24 | 15450          | 14550          | 15497          | 14300          | 1755671.15545527   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-02-25 | 14549.98       | 14430.79002    | 14789          | 14265          | 3807311.00864728   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-02-26 | 14435.02002    | 14498          | 14746          | 14342.01001    | 3835354.40331919   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-02-27 | 14400.07001    | 14324.68509    | 14600          | 14100.97994    | 3510514.18416925   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-02-28 | 14340.01       | 14411          | 14810.01       | 14324.7        | 3541738.9611699    |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-01 | 14498.99994    | 14701          | 15000          | 14385          | 3940753.18360572   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-02 | 14800.03934    | 14708          | 14826.83       | 14600.0099     | 726427.28690567    |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-03 | 14708.95999    | 14552.00023    | 14800          | 14535.0002     | 318027.56198992    |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-04 | 14552.00001    | 14250.69005    | 14690.5        | 14250          | 968161.98490967    |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-05 | 14250.69       | 14535.85524    | 14600          | 14200          | 1154540.69385986   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-06 | 14403.00023    | 14830.52       | 14999.99       | 14400          | 3580140.04518064   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-07 | 14938.97       | 15123.71601    | 15300          | 14762          | 4014791.33458058   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-08 | 15011.97354    | 15199          | 15450          | 14990.77       | 5579562.77904052   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-09 | 15198.99999    | 15300          | 15400          | 15103.00001    | 946549.46038924    |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-10 | 15300          | 15230          | 15394.99493    | 15180.58       | 521117.55920624    |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-11 | 15230          | 14910          | 15299.65       | 13800          | 4887425.78287027   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-12 | 14900.01       | 15044.99999    | 15310          | 14800          | 4870998.5465567    |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-13 | 15044.71997    | 15049.99999    | 15100          | 14837.0009     | 3279022.57294587   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-14 | 15049.99999    | 15051.96754    | 15200          | 14780.09       | 3883525.2204583    |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-15 | 15110          | 15240          | 15249.45342    | 14985          | 4084184.34409915   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-16 | 15150          | 15221.94779    | 15350          | 15050          | 1193228.30091497   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-17 | 15220.36156    | 15198.98999    | 15290          | 15089.01024    | 694355.90462428    |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-18 | 15198.98999    | 15311          | 15447          | 15060          | 4863620.30150746   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-19 | 15311          | 15400          | 15510          | 15210.00001    | 6091370.31792058   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-20 | 15370          | 15413.05       | 15530          | 15295          | 4411883.21908198   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-21 | 15500          | 15432.00001    | 15600          | 15340          | 4432241.14722401   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-22 | 15539.1        | 15990          | 15990          | 15410.15       | 3984543.36656315   |
|------------|----------------|----------------|----------------|----------------|--------------------|
| 2019-03-23 | 15990.29       | 15950.2        | 16286          | 15900.01       | 1919301.44260005   |
|------------|----------------|----------------|----------------|----------------|--------------------|
