Data,Abertura,Fechamento,Maximo,Minimo,Volume
2019-08-09,46295.79994,46280.0001,46700,46150,11466825.84049845
2019-08-10,46280.0001,45599.92958,46600,45000,8972772.57220894
2019-08-11,45470.5,45489.81756,45800,45000,3553064.98651459
2019-08-12,45489.79725,45639.94,46500,45009.33,11523325.37484181
2019-08-13,45549,43140,45748.5671,42000,26683460.8051064
2019-08-14,43139.99,41100,43849,41000.01999999,19821464.52151691
2019-08-15,41100,42199.89999,43500,40000,22759552.81920114
2019-08-16,41980.00004,42102.96999,42490,40550,14984425.36589174
2019-08-17,42102.98,41485,42200,41111.11,3245991.50893917
2019-08-18,41381,41760.46,42100,41251.43998,2793954.34978613
2019-08-19,41998.99992,43994.98941,44830,41630,24128637.90434523
2019-08-20,43850.02001,43500,44469.99004,43000,14021689.17794534
2019-08-21,43500,40890.00001,43950,40310,27782708.72732441
2019-08-22,40999.99998999,41161.00001,41920,40601,11194985.76951751
2019-08-23,41344.70984,41915.3301,42999,41120,13185665.05564026
2019-08-24,41915.35011,41507,42349.99998,41200,4331917.37834841
2019-08-25,41529,42218,43000,41500,7147373.56682659
2019-08-26,42303.19999999,42420,43100,41950.93597,14588112.79865478
2019-08-27,42780,42212.00004,42850,42001,10049828.57801365
2019-08-28,42397.99992,41198.98999,43200,40800,20706923.05687296
2019-08-29,40965.00004,40169.97829,41199.99991,40000,17557824.00444328
2019-08-30,40169.97803,40335.07032,40867,39850,10636493.91688372
2019-08-31,40355.8,40401.99998999,40900,39964.5,3205751.00667028
2019-09-01,40213.00017,40520.01,40800,40206,2050988.10652374
2019-09-02,40514.42315,42450,43213.08999999,40360,22808527.62660932
2019-09-03,42450,43215,44798,42216.58272,35227287.50738645
2019-09-04,43215,43564.00001,44358.69,43000,21503998.30928148
2019-09-05,43564,43799.98999,43970,43300,9533540.21781237
2019-09-06,43597.2607,42975.00004,44500,42550,20103119.79017992
2019-09-07,42975.00004,43173,43445.8,42800,2140834.48565718
2019-09-08,43173,42887.29998,43290,42800,3008953.85034174
2019-09-09,42887.19999,42499.89,43250,42187,12921999.82566161
2019-09-10,42499.89,41772.82224999,42856.1,41382.26979,13762836.97494412
2019-09-11,41772.12033,41496.86984,41955.55,41200,11179626.56206287
2019-09-12,41496.86984,42100.05,42500,41300,9597705.84084818
2019-09-13,42100.05,42250,42480,41950,7855799.5301306
2019-09-14,42250,42279.99993,42400,42120,1618355.53634739
2019-09-15,42190.08999999,42101,42280,42000,1480086.68536591
2019-09-16,42101,42099,42500,41700,11237875.33264257
2019-09-17,42099,42079,42376.18812,41950,9298853.7474651
2019-09-18,42100,41960,42350,41950,9079909.48713005
2019-09-19,41960,42201.07,42824.55,40800,16088682.21281609
2019-09-20,42201.07031,42000.00001,42748,42000,8043830.76754302
2019-09-21,42000.00001,41898.91896,42199.99,41600,2444297.19450206
2019-09-22,41898.91884,41800.00003,42000,41611,1168536.62840613
2019-09-23,41977.87913,41313,42000,41021.11,10534304.42013698
2019-09-24,41309.99998999,37784.99988,41399,36000,39229749.11793837
2019-09-25,37700,35915.12,37989,35500,27196698.3016626
2019-09-26,35915.11999,33710,35950,32550.13,22278092.52957531
2019-09-27,33809.99993,34762.00017,35490.82104,33500,15497953.7658446
2019-09-28,34898.96914999,34618.00017,35199.99998,34351.01,3388589.63861102
2019-09-29,34795.9781,34209.49932,34795.9781,33650,2634180.8986176
2019-09-30,34198.74938999,35150,35439.99998,33600.41,11194628.57523538
2019-10-01,35150,35089.97985,36999,34998,12439369.50914541
