Data,Abertura,Fechamento,Maximo,Minimo,Volume
2013-10-20,429.65,416.01,429.65,415.98,4708.68000176
2013-10-21,407.5374,429.65,429.65,390.00001,23337.42567331
2013-10-22,434.9999,420,444,420,29124.80265929
2013-10-23,435.50879,495.21,496.99999,423.001,32048.4105079
2013-10-24,483.4934,468,492,365,23672.64183349
2013-10-25,446.4934,464,468,380,31852.73193029
2013-10-26,435,450,464,425,6716.67855202
2013-10-27,450,440,454.98,420,7135.54833186
2013-10-28,444.9999,468.888,469.22,436.5101,63069.04092724
2013-10-29,469,459.5022,488.98999,442,11137.74141766
2013-10-30,488.98999,480,488.98999,470,7437.10892216
2013-10-31,479.98,485.89999,488.99,465,27034.06422782
2013-11-01,465.0001,488.99,488.99,465.0001,17849.98543336
2013-11-02,488.99,477,488.99,471.0002,4982.40526152
2013-11-03,485,507.85,513.21,471.5003,21875.92418424
2013-11-04,507.85,590,648.9,485,53864.90708787
2013-11-05,629.99999,641,644.1,557,60030.4183291
2013-11-06,620,696.21,696.21,620,61915.70875774
2013-11-07,696.21,777.68888,797.15,671,110706.59004248
2013-11-08,752.7379,929.7,929.9799,752.72,146765.71791379
2013-11-09,925,868,989.4399,800,80658.1519699
2013-11-10,800.00011,850,898.9989,703.0001,26343.9221145
2013-11-11,874.9999,936.98999,943,850.05,51578.40962662
2013-11-12,936,910.0001,987.99,902.00002,86082.57398189
2013-11-13,973.98,1099,1175,965,155824.63216238
2013-11-14,1099,1139.96,1173.99998,1016,97672.66950597
2013-11-15,1139.96,1015,1169.99,990,64834.46101385
2013-11-16,1143.999,1120,1147.5,1080,7344.99522291
2013-11-17,1125,1274,1274.99,1125,59066.88316099
2013-11-18,1274,1800,2200,1211,484268.20020227
2013-11-19,1800,1775,1890,1600,347618.58991004
2013-11-20,1752.2401,1694.99,1775,1001,215209.34882658
2013-11-21,1693.99999,1808.99,1829.99,1629.7625,165743.47636068
2013-11-22,1808.99,1925.00001,1950,1789.5,177762.28076647
2013-11-23,1925.00001,1965,2001,1895.0001,92116.24728463
2013-11-24,1984.999,1930,1988,1703,137220.37418321
2013-11-25,1930,1980,2020,1879.5,195016.67893794
2013-11-26,1979,2219.99989999,2230,1951.01,375841.67559729
2013-11-27,2200,2849.99969,2850,2136,516624.14903558
2013-11-28,2830.5,3398.79999,3450,2570,883350.68802542
2013-11-29,3300,3250,3600,2750,686094.69160122
2013-11-30,3250,3189,3391,3003,239398.59247995
2013-12-01,3125,2990,3191.99999,2300,538259.68778253
2013-12-02,3000,2899.99999,3100,2849.5,169717.31715526
2013-12-03,2899.99979,2944.99999,3000,2806.00001,244756.80321818
2013-12-04,2944.99998,2962.1,3099.99999,2914,325462.0866273
2013-12-05,2999.5,2750,3150,2551,390702.73972007
2013-12-06,2750,2150,2950,2150,505630.14751756
2013-12-07,2101,1700,2659.98999999,1650.421,371670.71304013
2013-12-08,1705,2116,2180,1600,164944.57979746
2013-12-09,2116.98,2375,2498.1234,2101,178555.64519032
2013-12-10,2375,2545.99998999,2622,2300.60030999,253578.4998027
2013-12-11,2543,2340,2545.99998999,2110,189128.75788724
2013-12-12,2290,2207.01,2364.99998999,2200,127180.45813864
2013-12-13,2209,2137.98999999,2294.98999999,2050,130903.12552498
2013-12-14,2133.98999999,2100,2183,1991,91927.94474255
2013-12-15,2100,2147.05882,2150,2001,46057.70315515
2013-12-16,2147,1685,2182,1640,271567.24138378
2013-12-17,1739.99999,1743.99999,1889,1550,172369.3412286
2013-12-18,1700,1360,1743,750,354614.53568862
2013-12-19,1300,1797.99999,1900,1300,154781.73572963
2013-12-20,1797.99999,1689.99999,1842.8,1572.18309,102875.77325396
2013-12-21,1690,1550,1697,1512.17485,67843.28346987
2013-12-22,1596.99999,1650,1698,1592,32700.36608671
2013-12-23,1650,1720,1780,1620,79686.69117567
2013-12-24,1710,1740,1750,1681,57213.03348381
2013-12-25,1744,1730,1755.33,1682.01,52439.74126362
2013-12-26,1750,1856.63,1924,1708,102020.93424069
2013-12-27,1857.01,1889,1925,1801,135908.45957363
2013-12-28,1870,1799,1891.5,1799,56756.80858864
2013-12-29,1800,1869.99998,1879.99999,1781,30657.91413368
2013-12-30,1825,1855,1891.1,1816.77239,37948.05232437
2013-12-31,1879,1842,1889,1823.33,16640.07643379
2014-01-01,1849,1879.98989,1890,1841,51870.20235672
2014-01-02,1879.98978,1949.99,1950,1842.33,81733.8448265
2014-01-03,1910,2089.99998999,2107.99998999,1889,106964.47344984
2014-01-04,2089.99998999,2100,2198.99998,1990,86267.3216161
2014-01-05,2150,2296.8,2300,2106,62180.95687394
2014-01-06,2256.00001,2335,2575,2240,293711.11795304
2014-01-07,2299.99989,2090,2340,1900,283296.6637687
2014-01-08,2080,2100,2189.89998,1950,98799.09603466
2014-01-09,2063.08374999,2140,2200,2012,112057.19638407
2014-01-10,2104.09,2155,2200,2083,213397.87375379
2014-01-11,2150.1,2200.00001,2270,2102,79801.68759443
2014-01-12,2185,2100,2249.99998999,2086,77672.20457284
2014-01-13,2099,2084.49998999,2100,2030.00002,113528.69846529
2014-01-14,2084,2030,2098.99998999,2000,119291.00931651
2014-01-15,2030,1980,2074.99998999,1937,103179.06581938
2014-01-16,2019.99999,1965,2100,1940,175370.33517367
2014-01-17,1965,1935,1999.99997,1859.00001,108397.35070877
2014-01-18,1934.999,1950,2000,1930,24917.24794271
2014-01-19,1950,1979.9,1998,1931,18881.30000246
2014-01-20,1979.9,1900,2000,1859,118879.06393181
2014-01-21,1899,1902.01001,2089.991,1860,209619.25633019
2014-01-22,1925,1918.00001,2040,1900,101170.01879754
2014-01-23,1920,1908,1980.98799,1875,148505.10750682
2014-01-24,1900,1900,1958.99998,1860.5,177372.92891555
2014-01-25,1900,1850,1929.98999,1849.99999,99698.64872378
2014-01-26,1850,1929,1930,1850,31820.97585622
2014-01-27,1928.99999,1890,1966,1860,108814.74494755
2014-01-28,1890,1930,1964.9,1850,110660.43568499
2014-01-29,1920,1935,2246.41,1910.00001,125542.49057344
2014-01-30,1935,1900,2014,1839.99999,190895.8502395
2014-01-31,1890,1812.1243,1925,1812.1243,192252.24187268
2014-02-01,1836,1850,1890,1836,46858.42365685
2014-02-02,1850,1889,1890,1845.49999,19069.45682394
2014-02-03,1870,1919.99999,1940.00003,1850.01,76131.06835802
2014-02-04,1919.99999,1903,1950,1834,158242.96745471
2014-02-05,1903,1875.00001,1946,1853,136806.8734306
2014-02-06,1900,1851,1920,1851,99952.55073144
2014-02-07,1852.00001,1700,1860,1621.001,243303.039284
2014-02-08,1749.99999,1598.99999,1750,1598.99999,109128.817928
2014-02-09,1598.99999,1650,1696.99,1560,24460.34470953
2014-02-10,1669.99,1605,1669.99,1455,207456.08526419
2014-02-11,1609,1600,1700,1560.9,196206.24561045
2014-02-12,1648.93997,1634,1648.98998,1600,106946.34836951
2014-02-13,1635,1540,1671,1540,180197.46018846
2014-02-14,1534.99987,1687,1698,1490,135614.91287178
2014-02-15,1650,1680,1693.99999,1556,37560.12375084
2014-02-16,1599.99999,1560,1600,1554.354,49342.38993737
2014-02-17,1560,1599,1663,1558.01,79489.58234404
2014-02-18,1580,1560,1700,1500,202367.44799859
2014-02-19,1560.00001,1559,1593.99987,1500,164604.72761644
2014-02-20,1539,1392.17,1600,1311.00001,267580.91076022
2014-02-21,1355.83009,1489.66355,1600,1355,97397.4198345
2014-02-22,1450,1464.99998,1499,1403.33,39573.27343716
2014-02-23,1480,1454,1499.5,1422,41355.68955584
2014-02-24,1454,1384.11,1500,1350,86097.31628448
2014-02-25,1355.10999999,1300,1400,1200,130824.29820743
2014-02-26,1300,1362.00008,1395,1240,88538.51639475
2014-02-27,1379.99997,1400,1440,1360,91936.95194352
2014-02-28,1400,1419.49996,1435,1350.0002,56083.86794148
2014-03-01,1380.0001,1414,1419,1373.00001,10882.23981588
2014-03-02,1414,1395.49689,1419.99999,1390.00263,14896.95289022
2014-03-03,1405.21874,1601,1630,1391.00001,65211.25100357
2014-03-04,1601,1520,1620,1400,69016.69277892
2014-03-05,1520,1539.99999,1550,1520,27221.1314642
